name,type,thc_level,most_common_terpene,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add_adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohns_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinsons,tourettes_syndrome,alzheimers,hiv_aids,tinnitus
Sour Urkle,Hybrid,0.15,,0.77,0.6,0.54,0.37,0,0.34,0.14,0.02,0.02,0.05,0.34,0.37,0.34,0,0,0.42,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Walker,,0.07,Pinene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Willie,Sativa,,,0.38,0.7,0.58,0.58,0,0.25,0.22,0.03,0,0.06,0.29,0.29,0.32,0.29,0,0,0,0.09,0,0,0.61,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sourlope,Sativa,0.2,Caryophyllene,0.55,0.77,0,0.66,0,0.16,0.11,0.11,0.16,0.05,0.38,0.22,0.33,0,0,0,0,0,0,0,0.66,0.27,0.66,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South American,Sativa,,,0.42,0.63,0,0.52,0,0.52,0.63,0.42,0.31,0.26,0,0,0.15,0,0,0.57,0,0,0,0,0.52,0,0,0,0.15,0.21,0.15,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Asian Indica,Indica,,,0.33,0,0,0.33,0.33,0.33,0.33,0,0,0,0.66,0.66,0.33,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Asian Sativa,Sativa,,,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
South Central LA,Indica,,,0.75,0,0.75,0.75,0,0.75,0.5,0,0.25,0,0.25,0,0.25,0,0,0.75,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Indian Indica,Indica,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Indian Sativa,Sativa,,,0.5,0,0.87,0.5,0,0.5,0.12,0,0,0.12,0.5,0.5,0.37,0,0,0,0,0.12,0,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Lights,Sativa,0.13,Myrcene,0.5,0,0.83,0.83,0,0.16,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0.5,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0
Sox,Hybrid,0.12,Myrcene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space Bomb,Hybrid,0.13,Caryophyllene,0.33,0.52,0.53,0.58,0,0.24,0.19,0.02,0.08,0,0.28,0.17,0.2,0.2,0,0,0,0,0,0,0,0.09,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space Cake,Hybrid,0.18,Caryophyllene,0.42,0.6,0,0.67,0,0.1,0,0,0,0,0.17,0,0.25,0.21,0,0,0,0,0,0.42,0.5,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space Candy,Hybrid,0.18,Caryophyllene,0.5,0.62,0.43,0.44,0,0.1,0.04,0.01,0.01,0.04,0.27,0.14,0.2,0.18,0,0,0,0,0,0.3,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space Cookies,Hybrid,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space Cowboy,Hybrid,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space Cream,Hybrid,0.21,,0.76,0.57,0.52,0.71,0,0.14,0.04,0,0.04,0,0.38,0.33,0.42,0.33,0,0,0,0.04,0,0,0.33,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
