strain,type,rating,effects_1,effects_2,effects_3,effects_4,effects_5,flavor_1,flavor_2,flavor_3,flavor_4
Elphinstone,sativa,4.5,Happy,Uplifted,Focused,Talkative,Energetic,Sweet,Skunk,Tropical,
Cheeseburger,hybrid,3.3,Tingly,Uplifted,Relaxed,Aroused,Creative,Cheese,Pepper,Tea,
Hades-Haze,indica,4.7,Relaxed,Sleepy,Talkative,Euphoric,Giggly,Citrus,Minty,Earthy,
Cheesewreck,hybrid,4.3,Happy,Relaxed,Uplifted,Creative,Euphoric,Cheese,Woody,Pungent,
Chem-Crush,hybrid,4.1,Talkative,Energetic,Happy,Creative,Uplifted,Sweet,Earthy,Pungent,
Chem-Dog,indica,4.7,Relaxed,Happy,Sleepy,Euphoric,Hungry,Lavender,Sweet,Citrus,
Chem-Jack,hybrid,5,Talkative,Uplifted,Creative,Happy,Aroused,Earthy,Sweet,Flowery,
Haleighs-Hope,hybrid,4.8,Relaxed,Happy,Uplifted,Talkative,Euphoric,Earthy,Pine,Pungent,
Chem-Jong-Ill,hybrid,5,Uplifted,Creative,Happy,Talkative,Energetic,,,,
Chem-Scout,indica,4.5,Relaxed,Euphoric,Focused,Happy,Creative,Earthy,Skunk,Tea,
Chem-Valley-Kush,hybrid,4.3,Relaxed,Euphoric,Happy,Tingly,Sleepy,Diesel,Earthy,Pine,
Hammerhead,indica,5,Sleepy,Aroused,Tingly,Relaxed,Uplifted,Diesel,Berry,Earthy,
Hannibal-Nectar,indica,0,Uplifted,Euphoric,Happy,Sleepy,Creative,Strawberry,Earthy,Vanilla,
Haole,hybrid,4.1,Euphoric,Relaxed,Happy,Uplifted,Creative,Sweet,Pungent,Earthy,
Haoma,indica,4.8,Relaxed,Happy,Sleepy,Hungry,Uplifted,Citrus,Flowery,Earthy,
Haoma-Mist,hybrid,5,Tingly,Happy,Relaxed,Uplifted,Euphoric,Sweet,Flowery,Citrus,
Hardcore-Og,indica,4.6,Relaxed,Happy,Uplifted,Sleepy,Tingly,Earthy,Sweet,Berry,
Harle-Tsu,hybrid,4.4,Relaxed,Happy,Uplifted,Focused,Euphoric,Earthy,Woody,Spicy/Herbal,
Harlequin,sativa,4.3,Relaxed,Focused,Happy,Uplifted,Energetic,Earthy,Sweet,Woody,
Harlequin-Gdp,hybrid,4.2,Relaxed,Talkative,Tingly,Energetic,Euphoric,Mint,Earthy,,
Harley-Storm,sativa,4.8,Relaxed,Uplifted,Creative,Euphoric,Happy,Spicy/Herbal,Sweet,Tropical,
