id,name,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbn,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
323,Purple Mr. Nice,Indica,0,,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Anxious","Insomnia, Pain, Depression, Stress, Nausea","Earthy, Grape, Sweet",,,127,,,0,,0,,,,,,,,
324,Purple Nepal,Hybrid,0,Bald Man Lala,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Depression","Grape, Berry",,,127,,,0,,0,,,,,,,,
325,Purple Passion,Indica,0,,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid","Stress, Insomnia, Lack of Appetite, Muscle Spasms, Pain","Earthy, Sweet",,,0,,,0,,0,,,,,,,,
326,Purple Princess,Hybrid,0,Unknown Breeder,,,,,,0,,,0,,0,,,,,,,,
327,Purple Skunk,Hybrid,0,Dutch Passion Seed Company,,,,,,0,,,0,,0,,,,,,,,
328,Purple Sour Diesel,,0,PAPA GANJA,,,,"Lake Forest, CA",,1100,,,0,,0,,,,,,,,
329,Purple Tonic,Hybrid,0,Purple Caper Seeds,"Happy, Uplifted, Energetic, Euphoric, Sleepy","Depression, Stress, Insomnia, Pain",Blueberry,,,0,,,0,,0,,,,,,,,
330,Purple Trainwreck,Hybrid,0,Humboldt Seed Organisation,,,,"Humboldt, CA",,2400,,,0,,0,,,,,,,,
331,Purple Urkle,Hybrid,0,Unknown Breeder,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious","Pain, Insomnia, Stress, Depression, Inflammation","Sweet, Grape, Berry","Richmond, CA",,1700,,,0,,0,,,,,,,,
332,Purple Voodoo,Hybrid,0,Unknown Breeder,,,,,,0,,,0,,0,,,,,,,,
333,Purple Wreck,Hybrid,0,Reserva Privada,"Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Inflammation","Grape, Sweet, Berry",,,127,,,0,,0,,,,,,,,
334,PVC OG,Indica,0,,"Tingly, Focused, Talkative, Uplifted, Energetic","Muscle Spasms, Pain, Stress",,,,0,,,0,,0,,,,,,,,
335,Qleaner,Hybrid,0,TGA Seeds,,,,,,0,,,0,,0,,,,,,,,
336,Qrazy Train,Hybrid,0,TGA Seeds,,,,,,0,,,0,,0,,,,,,,,
