id,name,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbn,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
8357,Double OG SFV,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8358,Elite G-13,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8359,Heri OG Kush,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8360,Lemon Arsenal,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8361,Super Nova (SnowHigh Seeds),Hybrid,,SnowHigh Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8362,Turquoise Jeep,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8363,Lemonade Haze,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8364,Krypto Cookies,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8365,Kookies,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8366,Goji Golden Cobra,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8367,Goji DC,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8368,Goji Cake,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8369,Alpine Cookies,Hybrid,,Moxie Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8370,Lemon Larry OGK,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8371,NY Lemon Diesel,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8372,OG OGuana Kush,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8373,Sour Banana Punch,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8374,Sour Larry OGK BX1,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8375,Strawberry Diesel 1.1,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8376,The Sour Funk,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8377,Triple Sour Diesel,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8378,Twisted Purple OGK,Hybrid,,Elite Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8379,Ultimate Chemdawg,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8380,Colombian Red Haze,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8381,Narkush,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8382,African Buzz,Hybrid,,Seedsman Cannabis Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8383,Sugar Haze,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8384,Hash Passion,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8385,Mama Thai,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8386,Jungle Wreck,Hybrid,,Seedsman Cannabis Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8387,Ata Tundra,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8388,North India Malana,Hybrid,,ACE Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8389,Pahari Farmhouse,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8390,Mazar-i-Sharif Afghani,Hybrid,,Sensi Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8391,Parvati,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8392,Golden Triangle,Hybrid,,Bodhi Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8393,Ketama,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8394,Pakistan Valley,Hybrid,,World Of Seeds Bank,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8395,Kwazulu,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8396,Master Kush Skunk,Hybrid,,Shantibaba,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8397,G13 Skunk,Hybrid,,Shantibaba,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8398,Automatic AK47,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8399,Automatic White Moscow,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8400,Automatic Blueberry,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8401,Automatic Lemon Skunk,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8402,Automatic Hindu Kush,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8403,Auto Hindu Kush x Auto AK47,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8404,Automatic Great White Shark,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8405,Twilight,Hybrid,,Dutch Passion Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8406,Tirah Nepali,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8407,Masterlow,Hybrid,,Mdanzig Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8408,Power Stout,Hybrid,,Mdanzig Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8409,Blue Streak,Hybrid,,Mdanzig Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8410,Rox,Hybrid,,Paradise Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8411,Opium,Hybrid,,Paradise Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8412,G13 Widow,Hybrid,,Shantibaba,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8413,White Wombat,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8414,Barrier Reefer,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8415,Blue Mountain,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8416,Didgeri Boo,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8417,Humpty Doo Haze,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8418,G13 Haze x Amethyst Bud,Hybrid,,Soma Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8419,G13 Haze x Citralah,Hybrid,,Soma Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8420,G13 Haze x Free Tibet,Hybrid,,Soma Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8421,G13 Haze x Haze Heaven,Hybrid,,Soma Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8422,G13 Haze Lavender,Hybrid,,Soma Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8423,G13 Haze x Reclining Buddha,Hybrid,,Soma Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8424,G13 Haze x Somativa,Hybrid,,Soma Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8425,G13 Haze x White Light,Hybrid,,Soma Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8426,G13 Haze x White Willow,Hybrid,,Soma Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8427,G13 Haze x Rock Bud,Hybrid,,Soma Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8428,Blue Satellite #2.2,Hybrid,,Spice of Life Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8429,The Blubonic,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8430,Donk,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8431,Vanilluna,Hybrid,,DJ Short,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8432,Cocoa Kush,Hybrid,,DJ Short,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8433,Honeybee,Hybrid,,DJ Short,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8434,Toe Jam,Hybrid,,DJ Short,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8435,Donkey Dick,Hybrid,,West Coast Seed Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8436,Donkey Dick x Mighty Mite,Hybrid,,West Coast Seed Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8437,Dutch Treat x Mighty Mite,Hybrid,,West Coast Seed Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8438,Mighty Mite,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8439,Super Skunk x Mighty Mite,Hybrid,,West Coast Seed Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8440,The Red Eyed Bride,Hybrid,,Legends Seed Brokerage House,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8441,Purple Skunk x Hash Plant,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8442,Zukke Knolle,Hybrid,,Lowland Seed Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8443,H 12,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8444,M 7,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8445,Hash Plant No. 1,Hybrid,,Sensi Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8446,Ruderalis (Hungarian),Hybrid,,Sensi Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8447,Kif Plus,Hybrid,,Pitt Bully,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8448,Juan Herer,Hybrid,,Pitt Bully,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8449,Cetme,Hybrid,,Pitt Bully,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8450,4 Best 4 You,Hybrid,,Pitt Bully,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8451,Bella Ortega,Hybrid,,Cannabella Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8452,Vietnam Tourist Hemp,Hybrid,,Green Hornet,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8453,Vietnam,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8454,Fig,Hybrid,,Green Hornet,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8455,Blue Earth Berry,Hybrid,,Green Hornet,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8456,Unchained Melodie,Hybrid,,Quantitative Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8457,Third Eye,Hybrid,,West Coast Masters,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8458,The Emperor,Hybrid,,West Coast Masters,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8459,Stinky Fudge Pinky,Hybrid,,Quantitative Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8460,Bubba Fudge Kush,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8461,Snozzwanger,Hybrid,,Alpha Kronik Genes,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8462,Skyscraper Kush,Hybrid,,Alpha Kronik Genes,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8463,Spec-Ops,Hybrid,,303 Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8464,Oaxaca Mexican,Hybrid,,Sensi Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8465,Pokhara Nepalese,Hybrid,,Sensi Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8466,Skunk #2,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8467,Oregon Indica,Hybrid,,Sensi Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8468,Dutch Oregon Indica,Hybrid,,Sensi Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8469,Krazy Karol,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8470,Kashroc,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8471,Kerala South Indian Landrace,Hybrid,,Sensi Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8472,Manila Filipino,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473,Primo Hollanditis,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8474,The Creeper,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475,Khyber Afghani,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8476,Purple Rain,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477,Friesland Indica,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8478,Amsterdam Delight,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8479,Tuguegaro Filipino,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8480,Kandahar Indica,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481,Michuacan ,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482,Skunk USA,Hybrid,,Positronics Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8483,Noi,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8484,Paars Purple,Hybrid,,Positronics Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8485,Victor Baarn,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8486,Pollyana,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8487,Indisat,Hybrid,,Seed Bank,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8488,Shady Lady-Ruderalis,Hybrid,,Seed Bank,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8489,Heavenly High,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8490,Purple Wonder,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8491,Big Skunk,Hybrid,,Seed Bank,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8492,Super Indoor Indica,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8493,Super Indoor Sativa,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8494,Sonora Super Sativa,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8495,Pluton 2,Hybrid,,Super Sativa Seed Club,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8496,Royal Dutch Skunk,Hybrid,,Exotic Seed Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8497,Four and More,Hybrid,,Exotic Seed Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8498,Dr. Weed Indica,Hybrid,,Exotic Seed Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8499,Dr. Weed Indica Purple,Hybrid,,Exotic Seed Co.,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8500,Dr. Weed Skunk Ruderalis,Hybrid,,Dr. Weed Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8501,Dr. Weed Skunk Northern Lights,Hybrid,,Dr. Weed Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8502,Twilicth,Hybrid,,Dr. Weed Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8503,Nightqueen,Hybrid,,Dr. Weed Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8504,Four Way Skunk,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8505,Skunk Passion Four Way Skunk,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8506,Dutch Passion Four And More,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8507,African Queen,Hybrid,,Sensi Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8508,White Cloud,Hybrid,,Dutch Passion Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8509,Kabul Baba,Hybrid,,Dutch Passion Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8510,Pure Thai,Hybrid,,Flying Dutchmen Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8511,High Grade 2003,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8512,Mabombe,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8513,Malawi Mini,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8514,Malberry F1,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8515,Nigerian 99 F1,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8516,Nigerlian,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8517,Power Malawi,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8518,Senegal Haze F1,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8519,Sweet White Malawi,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8520,Boggy Haze,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8521,Mindboggle x NYCD,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8522,Mindboggle,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8523,NYCD F2,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8524,Somatooth #1,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8525,Somatooth #2,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8526,Somatooth #2 x NYCD,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8527,Love Lettuce,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8528,Monkey Pal,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8529,Sweet God,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8530,Afghani x California Indica,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8531,Aurora Indica x Afghani,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8532,K.C. 33 x Skunk,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8533,Skunk x Big Bud,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8534,Bog Medley,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8535,Afghaan Dream,Hybrid,,BC Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8536,Fast Poison,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8537,Madame Poison,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8538,Mountain Bud,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8539,Pure Mighty Mite,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8540,Gooey Widow,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8541,Lemon Joy,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8542,Original Snow White,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8543,AK-47 F2,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8544,California Indica F2,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8545,Greenhouse White Widow F2,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8546,White Russian F2,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8547,Bubba Kush S1,Hybrid,,Dr. Greenthumb Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8548,Calio S1,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8549,Paint,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8550,Paint Haze,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8551,Biggie Small,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8552,Jazz (TGA),Hybrid,,TGA Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8553,Jacked-Up,Hybrid,,TGA Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8554,Silverback Loco Motive,Hybrid,,Quantitative Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8555,Blackened Ape Train,Hybrid,,Quantitative Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8556,Roadside Bomb,Hybrid,,Quantitative Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8557,White Rhino Bull,Hybrid,,Quantitative Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8558,Resinous Maximus,Hybrid,,Quantitative Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8559,White Bubba G.I.,Hybrid,,Quantitative Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8560,Rawdawg,Hybrid,,Alpha Kronik Genes,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8561,Purple Heart (Quantitative Genetics),Hybrid,,Quantitative Genetics,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8562,Chronics Revenge,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8563,Dr. Hemp #1,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8564,Luna,Hybrid,,HappyDay Farms,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8565,Northern Lightz,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8566,Metal Haze,Hybrid,,Dutch Flowers,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8567,Berlin,Hybrid,,Federation Seed Company,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8568,Wild Skunk,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8569,Angel Dust,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8570,Bubble Dust,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8571,Mummia,Hybrid,,GrowDoc Seeds,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8572,Odalisk,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8573,Fantasma,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8574,Trench Town Lights,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8575,Jamaican Jam,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8576,AK-47 x Northern White,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8577,Bubblegum F2,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8578,Cream Sodica,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8579,Heavenly Klingon,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8580,Blueberry x Hawaiian Sativa,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8581,Kg-one,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8582,Valaria,Hybrid,,Unknown Breeder,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
